OM	Baseline    Std
403	3553.7	2.00362
404	3547.63	1.84012
405	3552.96	1.6758
406	3547.98	2.0573
407	3544.24	2.08107
408	3545.69	1.8534
409	3550.93	1.66477
410	3544.76	1.88573
411	3554.01	1.72202
412	3555.83	1.92869
413	3550.85	2.0192
414	3543.71	1.68402
415	3545.1	2.74483
416	3549.41	1.54689
417	3549.09	1.56577
418	3543.87	1.72195
419	3549.58	1.85319
420	3548.66	1.68314
421	3540.3	1.84083
422	3547.43	1.88992
423	3544.77	1.85038
424	3536.05	1.92139
425	3544.87	1.91319
426	3539.3	1.83982
427	3544.92	1.88908
428	3541.38	1.78354
429	3545.3	1.81971
430	3541.72	1.72157
431	3540.96	1.69645
432	3538.14	1.87053
433	3549.05	1.79947
434	3541.7	1.81762
435	3546.62	1.67444
436	3546.95	1.9577
437	3537.37	1.74225
438	3536.54	1.97222
439	3548.06	1.67912
440	3543.32	1.77999
442	3551.42	1.65746
443	3541.17	1.86165
444	3553.31	1.83934
445	3554.99	1.83033
446	3547.14	1.83248
447	3551.21	1.71775
448	3556.84	1.73932
449	3545.68	1.71889
450	3542.22	1.93879
451	3554.87	1.75665
452	3551.51	1.92671
453	3547.6	1.63271
454	3557.93	1.68635
455	3554.72	1.76126
456	3547.16	1.80657
457	3557.23	1.67786
458	3553.58	1.80724
459	3542.35	1.64758
460	3548.35	1.69627
461	3549.89	1.8161
462	3544	1.98264
463	3540.98	1.73414
464	3554.97	1.66385
465	3551.45	1.73495
466	3549.82	1.76034
467	3561.44	1.75589
468	3543.43	1.65191
469	3540.01	1.76248
470	3547.4	1.72558
471	3557.23	1.69844
472	3543.48	1.78847
473	3556.77	2.02481
474	3536.69	1.78581
475	3540.65	1.70756
476	3552.11	1.74181
477	3551.51	1.73835
478	3542.34	1.99759
479	3534.43	2.02022
480	3536.53	1.90817
481	3535.69	1.8749
482	3540.45	1.84174
483	3542.43	1.86334
484	3548.17	1.88733
485	3554.86	2.02018
486	3544.69	1.84317
487	3557.17	1.86975
488	3550.9	1.75334
489	3550.5	1.69577
490	3552.37	2.03344
491	3542.82	1.83191
492	3552.03	1.79534
493	3541.36	1.66908
494	3556.28	1.84835
495	3543.84	1.87118
496	3539.76	1.69884
497	3544.93	1.86181
498	3548.15	1.70781
499	3544.17	1.91155
500	3537.97	1.868
501	3551.32	1.74209
502	3560.03	1.64445
503	3558.2	1.81991
504	3546.28	1.79896
505	3539.75	1.81041
506	3554.75	1.93063
507	3561.02	1.75608
508	3540.94	1.83066
509	3549.51	1.80231
510	3547.88	1.96378
511	3559.56	2.15109
512	3558.4	1.66987
513	3543.23	1.73572
514	3550.26	1.65852
515	3538.95	1.57141
516	3548.99	1.74841
517	3542.03	1.96676
518	3549.61	1.79753
519	3552.62	1.80372
520	3541.28	1.81097
521	3547.56	1.80975
522	3551.3	2.0861
523	3533.99	1.92863
524	3553.62	1.73896
525	3554.55	1.84564
526	3554.21	1.63676
527	3540.81	1.79264
528	3544.79	1.81592
529	3532.59	1.90969
530	3555.74	1.84754
531	3541.29	1.84172
532	3555.75	1.7027
533	3554.31	1.90624
534	3547.29	1.82408
535	3551.13	1.71365
536	3540.02	1.64757
537	3557.36	1.73797
538	3548.84	1.84232
539	3546.2	1.67591
540	3550.01	1.79279
541	3537.33	1.71549
542	3561.75	1.67643
543	3551.56	1.82911
544	3549.33	1.76871
545	3549.23	1.82363
546	3548.78	1.85651
547	3557.81	1.8152
548	3546.13	1.87308
549	3545	1.79624
550	3549.52	1.80649
551	3548.22	1.74837
552	3559.19	1.64152
553	3547.79	1.83028
554	3554.64	1.85881
555	3556.45	1.64601
556	3551.66	1.73096
557	3541.81	1.93939
558	3542.33	1.72502
559	3541.47	1.71088
560	3550.36	1.93574
561	3550.29	1.86316
562	3547.07	1.84432
563	3549.29	1.76259
564	3554.51	1.74525
565	3555.97	1.81787
566	3556.51	1.87443
567	3553.42	1.87045
568	3534.42	1.62456
569	3541.19	1.75351
570	3556.35	1.81067
571	3544.17	2.01688
572	3542.57	1.74484
573	3541.32	1.75895
574	3550.61	1.82095
575	3541.94	1.73085
576	3550.93	1.99553
577	3541.08	1.63742
578	3549.41	1.70463
579	3550.61	1.86512
580	3551.83	1.7844
581	3540.04	1.78102
582	3551.35	1.97314
583	3544.21	1.78182
584	3540.47	1.94798
585	3534.67	1.73215
586	3547.68	1.78211
587	3551.72	2.07464
588	3551.82	1.86305
589	3544.3	1.81094
590	3546.6	1.90589
591	3550.18	1.88817
592	3537.65	1.73351
593	3556.55	2.00574
594	3548.96	1.69957
595	3549.38	1.67691
596	3547.24	1.9349
597	3548.18	2.06399
598	3541.73	1.79445
599	3539.27	1.91004
600	3551.6	1.66979
601	3552.57	1.75979
602	3556.09	1.81752
603	3554.74	1.90138
604	3547.6	1.70547
605	3532.9	1.89852
606	3553.5	2.03763
607	3554.23	1.88737
608	3563.69	2.03576
609	3562.33	1.86825
610	3554.59	1.81363
611	3552.63	1.98341
612	3534.06	1.84187
613	3537.99	1.61314
614	3535.9	1.8645
615	3540.61	1.91866
616	3548.06	1.61923
617	3554.18	1.70278
618	3549.77	1.75371
619	3541.2	1.94106
620	3546.93	1.80279
621	3548.12	1.64262
622	3553.28	1.9345
623	3552.52	1.89793
624	3551.7	1.83659
625	3547.88	1.69549
626	3553.77	1.7519
627	3561.2	1.76483
628	3552.02	1.66317
629	3548.89	1.91858
630	3555.3	1.88758
631	3552.9	2.1809
632	3555.9	2.05638
633	3555.01	2.00095
634	3535.61	1.79477
635	3542.55	1.74868
636	3541.96	1.711
637	3556.38	1.8832
638	3540.45	1.82473
639	3543.15	1.81431
640	3548.09	1.74851
641	3553.9	1.98295
642	3547.04	2.00565
643	3541.13	1.81186
644	3542.55	1.75019
645	3535.18	1.87551
646	3546.18	1.73085
647	3536	1.84117
648	3543.1	2.11712
649	3550.76	1.94115
650	3547.55	1.98315
651	3557.63	1.69139
652	3551.79	1.75949
653	3549.92	1.87331
654	3550.12	2.06504
655	3557.31	1.7956
656	3544.58	1.6914
657	3537.25	1.67595
658	3552.77	1.65367
659	3551.4	2.00528
660	3549.63	1.72375
661	3540.2	1.69941
662	3535.27	1.63458
663	3537.55	1.84036
664	3540.67	1.84597
665	3550.21	1.77249
666	3541.86	1.76764
667	3539.8	1.67926
668	3556.92	1.86819
669	3543.63	1.82987
670	3548.31	1.82678
671	3547.99	2.02321
672	3541.25	1.72343
673	3545.74	1.816
674	3549.26	1.79238
675	3535.77	1.59907
676	3535.86	1.66018
677	3541.15	1.83884
678	3537.21	1.92301
679	3546.2	1.75409
680	3549.02	1.72749
681	3550.73	1.80212
682	3553.09	2.05312
683	3547.11	1.94128
684	3547.69	1.61563
685	3539.22	1.94241
686	3547.57	1.77335
687	3537.84	1.87667
688	3549.15	1.78152
689	3536.83	1.85632
690	3553.24	1.90178
691	3544.18	1.91293
692	3553.85	1.8064
693	3538.96	1.85962
694	3560.69	1.88739
695	3555.08	1.80282
696	3541.32	1.73423
697	3536.5	2.05089
698	3536.15	1.61538
699	3532.43	1.74576
700	3539.49	1.73456
701	3544.38	1.99949
702	3543.48	1.78462
703	3545.33	1.8463
704	3539.46	1.84784
705	3557.54	1.87565
706	3547.64	1.70822
707	3538.88	1.55968
708	3557.39	1.86717
709	3540.66	1.6802
710	3539.13	1.91515
711	3543.74	1.99301
